Level_1,Level_2,Level_3,Count
education,education,education,7
education,language learning,language learning,9
technology & computing,artificial intelligence,artificial intelligence,3
news and politics,politics,political issues,1
family and relationships,parenting,adoption and fostering,1
technology & computing,computing,computer software and applications,2
education,online education,online education,2
automotive,auto body styles,sedan,1
science,geography,geography,1
technology & computing,computing,information and network security,2
technology & computing,consumer electronics,home entertainment systems,1
technology & computing,computing,computer software and applications,1
