Concepts,Count
Deep learning,16
Artificial intelligence,15
Machine learning,16
Ethics,2
Dave Barker,1
The Uniques (Jamaican group),1
Lloyd Parks,1
Feature learning,1
Discrimination,1
Racism,1
Systemic bias,1
Das Model,7
Learning,1
Movement for Democracy in Liberia,7
Scientific modelling,1
Thought,2
Knowledge,2
Aptitude,1
Reason,2
Model,4
Design,1
Prodrug,1
Conceptual model,2
Page layout,1
Baseline (typography),1
Sentence spacing,1
Adversarial system,1
Weakness,1
Ensemble learning,1
Decision-making,1
Existentialism,1
Person,1
Tool,2
Inference,1
Logic,2
Expert system,1
Mycin,1
Knowledge acquisition,1
System,1
Definition,1
Causality,1
Decision tree,1
Fuzzy logic,1
Many-valued logic,1
Utility,1
Use case,1
Economics,1
Test case,1
